STNAME,CTYNAME,TOT_POP,NHWA,NHBA,H,NHWA_perc,NHBA_perc,H_perc
Alabama,Dale County,49172,33425,10058,3450,67.97567721467503,20.454730334336613,7.016188074513953
Alabama,Dallas County,37196,10032,26158,429,26.970642004516613,70.32476610388213,1.1533498225615657
Alabama,DeKalb County,71513,57103,1057,10774,79.84981751569644,1.4780529414232375,15.065792233579906
Alabama,Elmore County,81209,59351,16978,2563,73.08426405940227,20.90654976665148,3.1560541319311897
Alabama,Escambia County,36633,22094,11353,952,60.3117407801709,30.9911828133104,2.5987497611443238
Alabama,Etowah County,102268,79207,15876,4230,77.45042437517111,15.523917549966756,4.136191183948058
Alabama,Fayette County,16302,13703,1875,335,84.05717089927617,11.501656238498342,2.0549625812783705
Alabama,Franklin County,31362,23893,1184,5606,76.18455455646959,3.7752694343473,17.875135514316693
Alabama,Geneva County,26271,21951,2402,1095,83.55601233299078,9.143161661147273,4.168094096151648
Alabama,Greene County,8111,1423,6443,139,17.544075946245833,79.43533473061275,1.7137221057822711
Alabama,Hale County,14651,5819,8450,209,39.71742543171114,57.675244010647745,1.4265237867722342
Alabama,Henry County,17205,11964,4374,463,69.53792502179599,25.422842197035752,2.691078174949143
Alabama,Houston County,105882,69963,28685,3631,66.07638692128974,27.091479193819538,3.4292892087418068
Alabama,Jackson County,51626,45971,1725,1584,89.04621702243055,3.3413396350676017,3.0682214388099016
Alabama,Jefferson County,658573,326091,284126,26873,49.514784238041955,43.14267362919525,4.080489178876147
Alabama,Lamar County,13805,11874,1399,263,86.01231437884823,10.134009416877943,1.9051068453458893
Alabama,Lauderdale County,92729,78425,9143,2652,84.57440498657378,9.859914374144012,2.8599467264825464
Alabama,Lawrence County,32924,25122,3543,779,76.30300085044345,10.76114688373223,2.3660551573320374
Alabama,Lee County,164542,111364,37261,6091,67.68119993679424,22.64528205564536,3.7017904243293502
Alabama,Limestone County,98915,75002,13409,6149,75.82469797300712,13.556083506040537,6.216448465854522
Alabama,Lowndes County,9726,2442,6980,181,25.107958050586056,71.76639934196999,1.8609911577215708
Alabama,Macon County,18068,2974,14396,343,16.46003984945761,79.67677662165154,1.8983838831082576
Alabama,Madison County,372909,240537,90968,19352,64.50286799192295,24.3941551424074,5.18946981703311
Alabama,Marengo County,18863,8380,9678,528,44.425595080315965,51.30679107246992,2.799130573079574
Alabama,Marion County,29709,27252,1120,800,91.72977885489244,3.769901376687199,2.6927866976337143
Alabama,Marshall County,96774,77249,2490,14272,79.8241263149193,2.573005146010292,14.747762828858994
Alabama,Mobile County,413210,233547,148488,12443,56.52017134144866,35.93523874059196,3.011301759395949
Alabama,Monroe County,20733,11218,8445,347,54.10697921188444,40.73216611199537,1.6736603482371102
Alabama,Montgomery County,226486,74059,133283,8344,32.699151382425406,58.848229029608895,3.6841129253022262
Alabama,Morgan County,119679,89827,15196,10466,75.05660976445323,12.697298607107342,8.745059701367827
Alabama,Perry County,8923,2601,6029,144,29.14938921887257,67.56696178415329,1.6138070155777204
Alabama,Pickens County,19930,10682,7885,1044,53.59759157049674,39.56347215253386,5.2383341695935774
Alabama,Pike County,33114,18478,12406,802,55.80117170985082,37.464516518692996,2.4219363411246
Alabama,Randolph County,22722,17131,4340,682,75.3938913828008,19.10043130006161,3.0014963471525395
Alabama,Russell County,57961,26562,25838,3378,45.827366677593545,44.57825089284174,5.82805679681165
Alabama,St. Clair County,89512,76431,8534,2185,85.38631691840202,9.533917240146572,2.4410134953972653
Alabama,Shelby County,217702,168091,28607,12635,77.21150931089286,13.140439683604193,5.803805201605865
Alabama,Sumter County,12427,3098,8824,149,24.929588798583733,71.00667900539149,1.199002172688501
Alabama,Talladega County,79978,49800,26183,1913,62.26712345895122,32.737752882042564,2.391907774638025
Alabama,Tallapoosa County,40367,27733,10756,1021,68.70215770307429,26.64552728714049,2.5292937300270024
Alabama,Tuscaloosa County,209355,127285,67359,8308,60.7986434525089,32.17453607508777,3.968379069045401
Alabama,Walker County,63521,56437,3848,1681,88.84778262306953,6.057839139812031,2.64636891736591
Alabama,Washington County,16326,10606,3777,264,64.96386132549307,23.134876883498716,1.6170525542080116
Alabama,Wilcox County,10373,2786,7314,149,26.858189530511908,70.50997782705097,1.4364214788392942
Alabama,Winston County,23629,22046,214,781,93.30060518853949,0.9056667654153794,3.3052604849972487
Alaska,Aleutians East Borough,3337,302,302,493,9.050044950554392,9.050044950554387,14.77374887623614
Alaska,Aleutians West Census Area,5634,1332,367,787,23.642172523961662,6.5140220092296754,13.968761093361733
Alaska,Anchorage Municipality,288000,164464,15359,26992,57.10555555555555,5.332986111111111,9.372222222222225
Alaska,Bethel Census Area,18386,1763,174,503,9.588817578592405,0.9463722397476342,2.7357772217991947
Alaska,Bristol Bay Borough,836,331,5,62,39.5933014354067,0.5980861244019139,7.416267942583732
Alaska,Denali Borough,2097,1667,41,80,79.49451597520266,1.95517405817835,3.8149737720553176
Alaska,Dillingham Census Area,4916,721,40,182,14.666395443449959,0.8136696501220505,3.70219690805533
Alaska,Fairbanks North Star Borough,96849,67064,4638,7938,69.24593955539035,4.788898181705542,8.196264287705603
Alaska,Haines Borough,2530,1950,14,91,77.07509881422925,0.5533596837944664,3.596837944664032
Alaska,Hoonah-Angoon Census Area,2148,1002,47,128,46.648044692737436,2.1880819366852893,5.95903165735568
Alaska,Juneau City and Borough,31974,20481,398,2236,64.0551698254832,1.2447613686119972,6.993181960342777
Alaska,Kenai Peninsula Borough,58708,46980,410,2506,80.02316549703619,0.6983716018259862,4.268583497990051
Alaska,Ketchikan Gateway Borough,13901,8877,132,775,63.85871520034529,0.9495719732393352,5.575138479246097
Alaska,Kodiak Island Borough,12998,6383,142,1123,49.10755500846284,1.0924757655023851,8.639790737036467
