STNAME,CTYNAME,NHWA,NHBA,NHIA,NHAA,NHNA,H,NHWA_perc,NHBA_perc,NHIA_perc,NHAA_perc,NHNA_perc,H_perc
North Carolina,Onslow County,130099,29029,1209,4056,463,25521,65.72714688437793,14.665703402075398,0.6107973203730461,2.049126494154735,0.23391162889389605,12.893431276460305
North Carolina,Orange County,103220,16820,434,11759,53,12816,69.51965300789354,11.328430184002801,0.29230313316630296,7.91979848595059,0.03569600474150705,8.63169805221046
North Carolina,Pamlico County,9445,2357,82,71,23,542,74.21813609932421,18.521137828068518,0.6443501493006443,0.557912934150558,0.18073235895018072,4.258997328304259
North Carolina,Pasquotank County,21634,14290,161,573,23,2300,54.3240257131378,35.88288469264765,0.4042788268380876,1.4388308557653677,0.0577541181197268,5.77541181197268
North Carolina,Pender County,47572,8982,269,337,30,4742,75.43926419283221,14.243577545195052,0.4265778623533143,0.5344116714240406,0.04757373929590866,7.519822391373296
North Carolina,Perquimans County,9772,3013,59,52,2,370,72.58411943846096,22.379855901359285,0.4382381341454356,0.3862437792468246,0.014855529971031716,2.748273044640867
North Carolina,Person County,26172,10444,251,133,6,1785,66.27500633071664,26.447201823246388,0.6356039503671815,0.33679412509496076,0.015193719929095973,4.520131678906052
North Carolina,Pitt County,97722,63525,564,3634,117,11730,54.067123302829444,35.14678381339147,0.31204700622987463,2.010600745814476,0.06473315554768677,6.489913799780902
North Carolina,Polk County,18180,840,70,137,3,1223,87.72437753329473,4.053271569195136,0.3377726307662613,0.66106929164254,0.014475969889982628,5.901370391816252
North Carolina,Randolph County,112661,8870,755,2045,45,17224,78.4181475216995,6.17399959628864,0.5255208224574885,1.4234305720868399,0.03132243312660527,11.988835292725538
North Carolina,Richmond County,25321,13998,1137,388,19,3052,56.48352628878628,31.225322893662582,2.536304624238774,0.8655111646478841,0.04238327868121082,6.808092975529233
North Carolina,Robeson County,32290,30027,52404,735,73,12048,24.71961722488038,22.98717703349282,40.1178947368421,0.5626794258373206,0.05588516746411483,9.22334928229665
North Carolina,Rockingham County,65662,16924,315,556,56,5760,72.14811559169323,18.595758707834307,0.34611581144929127,0.6109218767168443,0.06153169981320734,6.3289748379298985
North Carolina,Rowan County,101394,23001,455,1541,59,13400,71.36000225212544,16.187855413546536,0.32022408648161704,1.084539158831147,0.041523562862451444,9.430775294183885
North Carolina,Rutherford County,55506,6424,185,383,23,3225,82.80893344671708,9.583911441316445,0.2759999403243373,0.5713944710498441,0.034313506094377055,4.8113503110593925
North Carolina,Sampson County,31949,15994,1143,287,54,13057,50.2888353717083,25.17511136295667,1.7991216886244512,0.45174796556012026,0.08499787505312367,20.552171380900663
North Carolina,Scotland County,14807,13408,4222,317,12,1150,42.52074778163857,38.50328805674411,12.124170806650778,0.9103178933463516,0.03445998334434139,3.302415070499382
North Carolina,Stanly County,50778,6925,226,1205,15,2786,80.84896347482726,11.026016622615673,0.35983823201604936,1.9186065025634491,0.023883068496640448,4.435881922109353
North Carolina,Stokes County,41434,1775,155,173,11,1507,90.88197231909808,3.8933122765458092,0.33997938189554955,0.37946085850277467,0.024127569037748677,3.305476958171569
North Carolina,Surry County,59744,2658,198,428,18,7963,83.22861958959643,3.702826574537146,0.2758313249655211,0.5962414499254698,0.02507557499686555,11.093155761113358
North Carolina,Swain County,8662,156,3886,95,5,822,60.69651741293532,1.0931259196972882,27.230046948356804,0.6656856562259127,0.03503608716978488,5.759932730712634
North Carolina,Transylvania County,31076,1166,138,214,15,1168,90.37661771121131,3.391013523338665,0.4013377926421405,0.6223644030827395,0.04362367311327613,3.396830013087102
North Carolina,Tyrrell County,1973,1498,11,73,1,376,49.12848605577689,37.300796812749,0.27390438247011956,1.8177290836653386,0.0249003984063745,9.362549800796812
North Carolina,Union County,170503,28434,743,8430,101,27515,71.08467891552954,11.854464497892513,0.3097653204591031,3.5145648068240094,0.04210807182553083,11.471322735440404
North Carolina,Vance County,17348,22516,118,300,20,3675,38.95363197485124,50.55798809924778,0.2649601437071966,0.6736274840013472,0.04490849893342315,8.251936679016504
North Carolina,Wake County,662234,222192,3197,84333,468,115531,59.566219718086906,19.985590428158567,0.2875618051001969,7.585533221618675,0.04209537841316614,10.391711887716875
North Carolina,Warren County,7532,9961,1017,74,4,773,38.173432669403475,50.48400993360701,5.154325680401399,0.3750443464598855,0.020272667376210026,3.9176929704525874
North Carolina,Washington County,5120,5569,26,43,3,653,44.21416234887738,48.09153713298791,0.22452504317789296,0.37132987910189985,0.02590673575129534,5.639032815198618
North Carolina,Watauga County,51352,922,156,616,19,2261,91.41107570713993,1.641241077309219,0.2776937180696726,1.096534168787938,0.03382167079053705,4.02477882407391
North Carolina,Wayne County,64930,38372,422,1458,65,15327,52.732455677286794,31.163557511918196,0.34272441545995724,1.1841047339825064,0.05278930569880858,12.447718283779064
North Carolina,Wilkes County,59331,2983,139,343,16,4728,86.72601298017892,4.360346138104427,0.20318072852715896,0.5013740279483132,0.023387709758521898,6.9110682336432205
North Carolina,Wilson County,38317,32350,222,910,76,8819,46.84172565127565,39.54719379958679,0.2713903253016467,1.1124558379481915,0.09290839965281597,10.781041796555057
North Carolina,Yadkin County,31578,1143,88,117,6,4338,83.83465633047496,3.0344864204741553,0.23362625109512303,0.31061672020601594,0.01592906257466748,11.516712241484587
North Carolina,Yancey County,16619,160,68,51,1,998,91.97520615418674,0.8854944933311196,0.3763351596657257,0.28225136974929443,0.0055343405833194964,5.5232719021528585
